iter	RMSE
0	8.810799431
1	8.655727352
2	8.483481954
3	8.321505945
4	8.168137171
5	8.016510051
6	7.879508016
7	7.720932699
8	7.584380341
9	7.439384258
10	7.305601549
11	7.175934584
12	7.050850117
13	6.917940414
14	6.792874892
15	6.682076857
16	6.571843221
17	6.455026057
18	6.361093931
19	6.251588051
20	6.161061127
21	6.057949253
22	5.961668752
23	5.869695383
24	5.791618448
25	5.698752823
26	5.625382146
27	5.546695833
28	5.468365789
29	5.391664036
30	5.316144828
31	5.239970162
32	5.166197383
33	5.105134236
34	5.03082228
35	4.966826644
36	4.905301501
37	4.838929877
38	4.771379388
39	4.717082918
40	4.656568439
41	4.588901892
42	4.526102345
43	4.467418969
44	4.411466113
45	4.357492023
46	4.309410306
47	4.262059258
48	4.213957615
49	4.169360559
50	4.117952211
51	4.077700677
52	4.047470787
53	4.014225245
54	3.977721843
55	3.930086138
56	3.887644355
57	3.848597753
58	3.803519983
59	3.769098227
60	3.73369817
61	3.694341838
62	3.666914459
63	3.622898115
64	3.589287437
65	3.555645744
66	3.528091701
67	3.493728841
68	3.465757956
69	3.431436735
70	3.398697791
71	3.375134857
72	3.354615733
73	3.32396734
74	3.298770563
75	3.27937079
76	3.256192164
77	3.22746735
78	3.20237454
79	3.180851675
80	3.157659537
81	3.12815457
82	3.10898058
83	3.084020697
84	3.06573908
85	3.049166902
86	3.023257543
87	3.005655139
88	2.98557807
89	2.972180082
90	2.951741695
91	2.930524311
92	2.911284911
93	2.889172989
94	2.875461295
95	2.857840007
96	2.838879891
97	2.821280584
98	2.798006653
99	2.783392163
100	2.768398514
101	2.757321195
102	2.740026164
103	2.718332982
104	2.701981689
105	2.691440787
106	2.681549603
107	2.669388519
108	2.654313984
109	2.643983156
110	2.6339049
111	2.621871168
112	2.610203099
113	2.592650901
114	2.580873356
115	2.569254057
116	2.554916111
117	2.545552628
118	2.535108613
119	2.527318749
120	2.517319196
121	2.509965521
122	2.49977633
123	2.493809457
124	2.484976155
125	2.472514223
126	2.462146461
127	2.455992147
128	2.443237369
129	2.432129358
130	2.42078273
131	2.411132685
132	2.402494668
133	2.393123769
134	2.384043182
135	2.376492643
136	2.367558358
137	2.359258229
138	2.351822341
139	2.344935863
140	2.33812048
141	2.328888647
142	2.318927968
143	2.312983691
144	2.305214607
145	2.293948728
146	2.284213266
147	2.27859794
148	2.270000572
149	2.262753926
150	2.256847324
151	2.249060293
152	2.24011476
153	2.233036052
154	2.226741309
155	2.217953794
156	2.21021271
157	2.203612569
158	2.197518521
159	2.191497165
160	2.186588187
161	2.18020455
162	2.174243603
163	2.168116937
164	2.162568213
165	2.155785284
166	2.148938257
167	2.142149447
168	2.137173775
169	2.126875279
170	2.121408174
171	2.115415396
172	2.110227844
173	2.10204669
174	2.093459243
175	2.088926793
176	2.085157882
177	2.07855784
178	2.07337349
179	2.070002334
180	2.066740591
