iter	Passed	Remaining
0	3	3400
1	6	3160
2	9	3004
3	11	2890
4	14	2902
5	18	2993
6	20	2947
7	23	2893
8	25	2850
9	29	2871
10	31	2866
11	34	2817
12	36	2792
13	39	2752
14	41	2725
15	43	2703
16	46	2666
17	49	2673
18	51	2653
19	53	2632
20	56	2629
21	59	2654
22	62	2640
23	65	2647
24	68	2671
25	71	2689
26	74	2683
27	76	2668
28	81	2720
29	83	2701
30	86	2691
31	88	2679
32	91	2684
33	94	2676
34	97	2681
35	99	2672
36	102	2663
37	104	2652
38	107	2641
39	109	2636
40	112	2637
41	115	2624
42	117	2613
43	119	2606
44	122	2601
45	125	2592
46	128	2597
47	130	2585
48	132	2572
49	134	2561
50	137	2551
51	139	2544
52	142	2548
53	144	2536
54	147	2529
55	149	2520
56	151	2512
57	154	2508
58	157	2512
59	159	2502
60	162	2496
61	164	2483
62	166	2478
63	169	2476
64	172	2475
65	174	2473
66	177	2467
67	179	2460
68	182	2462
69	185	2459
70	187	2454
71	190	2449
72	192	2445
73	194	2437
74	197	2433
75	199	2430
76	202	2424
77	204	2421
78	207	2417
79	209	2410
80	211	2404
81	214	2399
82	216	2392
83	218	2387
84	221	2382
85	223	2376
86	226	2371
87	228	2369
88	230	2364
89	233	2357
90	235	2351
91	238	2351
92	240	2345
93	242	2340
94	245	2338
95	247	2332
96	250	2330
97	253	2331
98	255	2326
99	258	2322
100	260	2317
101	262	2312
102	265	2310
103	267	2305
104	270	2301
105	272	2299
106	274	2294
107	277	2290
108	279	2287
109	282	2282
110	284	2280
111	287	2279
112	289	2274
113	292	2270
114	294	2267
115	297	2264
116	299	2260
117	302	2257
118	304	2253
119	306	2249
120	308	2244
121	311	2240
122	313	2235
123	316	2232
124	318	2228
125	320	2223
126	323	2220
127	325	2217
128	327	2213
129	330	2209
130	332	2206
131	335	2203
132	337	2198
133	339	2193
134	341	2189
135	343	2185
136	346	2181
137	348	2179
138	351	2175
139	353	2171
140	355	2168
141	358	2165
142	361	2165
143	364	2165
144	366	2163
145	369	2162
146	372	2160
147	374	2158
148	377	2154
149	380	2153
150	382	2150
151	385	2148
152	387	2146
153	390	2144
154	392	2141
155	395	2140
156	398	2139
157	401	2140
158	404	2137
159	406	2133
160	409	2135
161	414	2142
162	418	2147
163	421	2150
164	424	2149
165	427	2147
166	430	2146
167	432	2144
168	435	2142
169	438	2138
170	441	2140
171	444	2139
172	446	2136
173	449	2135
174	452	2134
175	456	2135
176	459	2136
177	463	2139
178	466	2138
179	468	2135
180	471	2132
181	474	2132
182	477	2131
183	479	2128
184	482	2125
185	485	2123
186	487	2120
187	490	2118
188	493	2116
189	495	2114
190	498	2111
191	501	2109
192	503	2106
193	507	2107
194	510	2105
195	513	2104
196	516	2105
197	519	2103
198	522	2103
199	525	2100
200	528	2099
201	530	2097
202	533	2096
203	538	2101
204	541	2100
205	544	2099
206	547	2096
207	550	2095
208	553	2093
209	556	2091
210	558	2089
211	561	2088
212	564	2086
213	567	2082
214	570	2081
215	572	2079
216	575	2076
217	578	2074
218	580	2071
219	583	2069
220	587	2072
221	591	2073
222	595	2073
223	597	2070
224	600	2068
225	603	2066
226	605	2062
227	608	2059
228	611	2057
229	614	2055
230	616	2053
231	620	2052
232	622	2050
233	625	2047
234	627	2044
235	630	2042
236	633	2040
237	636	2037
238	639	2035
239	641	2032
240	644	2029
241	646	2025
242	649	2022
243	651	2019
244	654	2015
245	656	2012
246	658	2007
247	660	2003
248	663	2000
249	665	1997
250	668	1994
251	671	1991
252	673	1988
253	675	1985
254	678	1981
255	680	1978
256	683	1974
257	685	1971
258	687	1968
259	690	1964
260	692	1961
261	694	1957
262	697	1954
263	699	1950
264	701	1946
265	704	1943
266	706	1939
267	708	1935
268	712	1935
269	715	1933
270	717	1930
271	720	1927
272	722	1925
273	726	1925
274	729	1924
275	732	1922
276	736	1921
277	738	1918
278	741	1917
279	746	1920
280	749	1917
281	751	1913
282	754	1911
283	757	1909
284	760	1908
285	763	1906
286	766	1904
287	769	1902
288	772	1901
289	776	1899
290	779	1898
291	781	1896
292	784	1893
293	787	1892
294	791	1892
295	794	1889
296	796	1886
297	800	1884
298	802	1882
299	805	1879
300	809	1879
301	811	1876
302	814	1874
303	817	1872
304	820	1869
305	823	1868
306	826	1866
307	829	1864
308	832	1862
309	836	1860
310	838	1858
311	841	1854
312	843	1852
313	846	1849
314	849	1846
315	852	1845
316	855	1843
317	859	1842
318	862	1841
319	865	1839
320	868	1836
321	871	1834
322	874	1833
323	877	1831
324	881	1831
325	884	1828
326	887	1826
327	890	1824
328	893	1822
329	896	1819
330	898	1816
331	901	1814
332	905	1813
333	908	1812
334	911	1810
335	915	1808
336	919	1809
337	923	1809
338	927	1807
339	930	1806
340	933	1804
341	937	1803
342	940	1801
343	943	1799
344	946	1797
345	950	1796
346	953	1794
347	956	1791
348	960	1790
349	963	1788
350	966	1786
351	969	1784
352	972	1782
353	975	1780
354	978	1778
355	982	1777
356	985	1775
357	989	1774
358	994	1776
359	1001	1780
360	1007	1783
361	1013	1786
362	1017	1786
363	1021	1785
364	1026	1786
365	1031	1786
366	1034	1783
367	1036	1780
368	1039	1778
369	1042	1774
370	1045	1772
371	1049	1771
372	1052	1768
373	1054	1765
374	1057	1762
375	1060	1759
376	1063	1756
377	1065	1753
378	1067	1749
379	1070	1747
380	1074	1745
381	1078	1743
382	1081	1741
383	1084	1739
384	1087	1737
385	1091	1736
386	1097	1738
387	1101	1737
388	1104	1735
389	1112	1739
390	1115	1737
391	1118	1734
392	1121	1732
393	1126	1733
